qid,figure_index,figure_count,session,paper,question,file_name,relative_path,public_url
0580-2023OctNov-Paper33-Q06,1,2,2023OctNov,Paper33,Q06,Q06-Transformation.png,2023OctNov/Paper33/Q06/Q06-Transformation.png,https://git25math.github.io/25maths-cie0580-figures/2023OctNov/Paper33/Q06/Q06-Transformation.png
0580-2023OctNov-Paper33-Q07,0,1,2023OctNov,Paper33,Q07,Q07-Sequence.png,2023OctNov/Paper33/Q07/Q07-Sequence.png,https://git25math.github.io/25maths-cie0580-figures/2023OctNov/Paper33/Q07/Q07-Sequence.png
0580-2023OctNov-Paper33-Q08,0,1,2023OctNov,Paper33,Q08,Q08-Triangle.png,2023OctNov/Paper33/Q08/Q08-Triangle.png,https://git25math.github.io/25maths-cie0580-figures/2023OctNov/Paper33/Q08/Q08-Triangle.png
0580-2023OctNov-Paper33-Q09,0,2,2023OctNov,Paper33,Q09,Q09-Semicircle.png,2023OctNov/Paper33/Q09/Q09-Semicircle.png,https://git25math.github.io/25maths-cie0580-figures/2023OctNov/Paper33/Q09/Q09-Semicircle.png
0580-2023OctNov-Paper33-Q09,1,2,2023OctNov,Paper33,Q09,Q09-Triangles.png,2023OctNov/Paper33/Q09/Q09-Triangles.png,https://git25math.github.io/25maths-cie0580-figures/2023OctNov/Paper33/Q09/Q09-Triangles.png
0580-2023OctNov-Paper33-Q10,0,1,2023OctNov,Paper33,Q10,Q10-Curve.png,2023OctNov/Paper33/Q10/Q10-Curve.png,https://git25math.github.io/25maths-cie0580-figures/2023OctNov/Paper33/Q10/Q10-Curve.png
0580-2023OctNov-Paper41-Q01,0,1,2023OctNov,Paper41,Q01,Q01-TransformationGrid.png,2023OctNov/Paper41/Q01/Q01-TransformationGrid.png,https://git25math.github.io/25maths-cie0580-figures/2023OctNov/Paper41/Q01/Q01-TransformationGrid.png
0580-2023OctNov-Paper41-Q04,0,1,2023OctNov,Paper41,Q04,Q04a-TreeDiagram.png,2023OctNov/Paper41/Q04/Q04a-TreeDiagram.png,https://git25math.github.io/25maths-cie0580-figures/2023OctNov/Paper41/Q04/Q04a-TreeDiagram.png
0580-2023OctNov-Paper41-Q05,0,3,2023OctNov,Paper41,Q05,Q05a-Triangle.png,2023OctNov/Paper41/Q05/Q05a-Triangle.png,https://git25math.github.io/25maths-cie0580-figures/2023OctNov/Paper41/Q05/Q05a-Triangle.png
0580-2023OctNov-Paper41-Q05,1,3,2023OctNov,Paper41,Q05,Q05b-CircleTriangle.png,2023OctNov/Paper41/Q05/Q05b-CircleTriangle.png,https://git25math.github.io/25maths-cie0580-figures/2023OctNov/Paper41/Q05/Q05b-CircleTriangle.png
0580-2023OctNov-Paper41-Q05,2,3,2023OctNov,Paper41,Q05,Q05c-TrianglesRatio.png,2023OctNov/Paper41/Q05/Q05c-TrianglesRatio.png,https://git25math.github.io/25maths-cie0580-figures/2023OctNov/Paper41/Q05/Q05c-TrianglesRatio.png
0580-2023OctNov-Paper41-Q07,0,1,2023OctNov,Paper41,Q07,Q07-Histogram.png,2023OctNov/Paper41/Q07/Q07-Histogram.png,https://git25math.github.io/25maths-cie0580-figures/2023OctNov/Paper41/Q07/Q07-Histogram.png
0580-2023OctNov-Paper41-Q08,0,2,2023OctNov,Paper41,Q08,Q08a-Solid.png,2023OctNov/Paper41/Q08/Q08a-Solid.png,https://git25math.github.io/25maths-cie0580-figures/2023OctNov/Paper41/Q08/Q08a-Solid.png
0580-2023OctNov-Paper41-Q08,1,2,2023OctNov,Paper41,Q08,Q08b-Sector.png,2023OctNov/Paper41/Q08/Q08b-Sector.png,https://git25math.github.io/25maths-cie0580-figures/2023OctNov/Paper41/Q08/Q08b-Sector.png
0580-2023OctNov-Paper41-Q10,0,1,2023OctNov,Paper41,Q10,Q10b-Vectors.png,2023OctNov/Paper41/Q10/Q10b-Vectors.png,https://git25math.github.io/25maths-cie0580-figures/2023OctNov/Paper41/Q10/Q10b-Vectors.png
